Age,Pace,Shooting,Passing,Dribbling,Defending,Physical,Ability,Potential
32,88,64,63,90,57,84,3.8,3.1
18,92,61,84,72,74,85,2.7,2.2
21,63,80,65,86,63,88,3.6,2.6
20,75,59,65,78,49,85,4.4,3.8
32,87,84,85,86,49,85,3.9,2.4
33,66,59,78,86,68,83,3.8,3.4
30,64,68,83,68,46,83,4.6,4.7
23,86,71,69,71,72,87,3.5,4.3
29,81,68,73,90,61,79,3.6,4.7
21,67,67,76,69,75,85,3.9,2.7
29,84,71,63,70,52,77,2.9,4.7
29,91,81,73,82,67,85,2.6,4.6
19,83,74,75,70,47,78,3.3,2.2
18,73,78,63,77,46,90,4.5,3.3
24,82,74,79,81,53,77,2.6,2.6
33,82,69,70,76,55,89,3.3,4.7
29,71,64,67,82,75,79,3.1,2.3
30,69,70,66,92,65,80,4.5,2.8
26,78,86,69,92,80,82,4.5,2.3
29,69,59,81,82,66,82,3.1,3.7
20,79,77,80,81,75,76,2.9,2.9
19,87,62,64,74,67,74,4.5,2.1
21,79,71,85,81,76,89,4.2,2.8
28,80,70,69,86,67,81,4.4,3.5
26,66,77,71,75,53,84,4.4,2.0
24,62,79,83,82,67,84,3.4,3.9
33,91,81,66,84,64,85,4.2,2.7
19,88,66,72,88,74,89,4.2,3.5
28,78,61,81,72,68,85,3.3,4.3
20,69,77,84,74,68,78,4.6,4.0
18,69,82,74,69,66,78,3.7,3.8
26,85,61,80,83,68,85,4.1,3.3
30,77,87,74,72,46,81,4.6,2.7
22,89,81,61,70,79,83,2.5,3.5
36,74,64,77,75,65,86,2.5,2.6
26,85,81,74,67,79,90,3.0,4.9
26,86,70,71,84,56,78,2.7,3.2
34,84,62,73,76,80,86,3.4,3.6
30,81,61,73,92,72,80,4.5,3.7
26,62,62,80,80,67,86,2.9,4.2
27,79,83,74,85,57,83,2.8,3.6
33,65,58,82,72,48,75,4.3,4.8
31,90,61,72,78,80,78,4.3,4.4
25,69,73,70,81,62,84,4.6,4.3
33,83,75,64,70,70,85,4.6,3.2
33,72,72,71,67,47,74,4.2,3.9
33,83,65,67,76,47,89,4.6,4.3
33,71,87,62,88,53,85,2.9,3.6
23,91,68,80,88,52,82,3.4,2.2
19,74,81,61,67,73,77,3.4,4.4
32,68,78,76,78,68,90,2.9,3.9
24,83,73,77,70,74,76,2.9,2.8
25,61,70,79,78,72,86,2.6,4.6
27,70,60,76,79,49,85,2.9,3.9
36,77,85,84,82,77,74,2.6,4.0
33,72,71,81,84,80,74,3.4,2.4
36,92,69,64,77,79,82,3.7,3.1
31,69,81,69,80,71,86,3.6,4.4
29,87,74,77,86,75,77,2.5,2.5
24,67,64,74,72,50,86,3.7,4.8
21,76,66,69,70,47,85,4.1,3.2
21,91,63,62,67,62,89,4.5,2.8
32,61,69,62,75,64,87,2.5,3.9
23,63,71,71,81,63,86,4.0,2.9
20,77,81,77,73,54,89,2.8,4.5
31,67,79,62,74,54,75,3.7,3.4
29,85,60,68,70,45,88,4.6,3.1
30,88,62,68,82,63,82,2.6,3.2
22,90,59,76,71,68,85,3.9,4.4
33,66,68,68,91,75,80,4.4,3.4
36,84,74,76,87,77,87,3.4,4.1
28,65,70,68,81,58,75,3.1,2.6
35,75,70,85,69,74,83,3.4,4.7
36,62,68,82,68,74,85,2.7,4.2
27,63,59,63,82,59,79,3.8,4.6
22,84,68,61,81,68,76,4.4,2.5
34,65,68,70,80,46,80,3.0,2.8
24,90,86,80,90,71,85,3.6,4.3
30,81,65,60,75,49,76,4.1,3.0
20,65,78,60,89,54,82,3.6,3.7
32,86,79,68,68,72,78,2.8,3.0
26,70,87,63,86,45,89,4.3,3.3
20,75,65,79,88,77,81,2.5,4.2
36,76,73,84,81,64,90,3.9,2.6
29,68,82,66,88,79,75,2.9,4.4
23,61,68,81,89,66,79,3.0,2.6
27,90,79,63,75,75,90,3.1,3.4
32,84,75,63,74,57,80,3.4,4.0
27,92,83,71,87,69,75,4.1,3.1
24,92,64,69,81,70,79,4.0,3.6
26,86,63,72,92,76,88,3.2,3.9
33,62,65,67,75,75,86,2.6,4.6
34,87,72,63,85,56,74,2.7,4.8
25,83,76,74,86,78,78,4.0,3.9
21,69,79,61,85,67,78,4.2,4.9
30,91,62,71,83,74,88,2.6,2.7
28,83,87,72,75,80,85,2.7,2.2
33,87,86,74,75,64,81,4.2,4.7
36,79,88,68,73,55,88,3.9,3.6
32,68,75,69,79,66,76,3.2,4.5
20,73,73,85,83,57,78,4.5,3.9
19,92,86,67,92,47,80,4.1,3.5
20,67,71,72,92,66,84,3.1,4.6
21,77,75,60,72,74,81,2.7,4.4
20,85,85,70,80,62,76,2.7,3.1
26,64,62,69,82,63,85,2.9,4.8
36,66,67,64,73,73,79,2.9,2.9
36,72,61,63,70,79,81,3.4,3.2
18,69,67,71,69,75,84,4.4,2.1
22,61,75,60,78,76,78,4.4,4.0
21,81,83,69,91,50,89,3.4,3.9
32,75,65,67,85,50,83,2.6,2.6
29,71,87,69,75,51,88,3.3,2.3
29,70,63,79,90,73,90,4.3,4.4
24,88,87,69,78,57,75,4.3,2.7
23,80,80,65,73,69,90,3.8,4.3
20,69,68,62,87,63,77,4.2,4.3
29,92,81,76,90,78,83,3.6,3.3
28,69,64,61,81,61,90,4.2,2.6
22,69,62,73,84,64,89,4.0,3.4
36,81,69,80,89,47,85,2.9,3.9
34,70,79,71,75,57,84,3.6,2.0
22,69,66,78,69,50,76,4.1,4.2
23,65,67,69,79,75,79,2.5,4.6
20,72,68,67,77,51,80,4.0,4.7
26,76,79,79,84,52,85,2.7,4.4
34,84,68,65,69,52,81,2.5,3.1
31,84,60,79,67,65,80,4.6,4.1
33,74,67,60,74,52,86,3.3,4.6
21,71,60,82,77,45,80,3.8,4.0
25,68,74,84,80,60,85,4.0,3.2
30,89,88,82,92,74,75,4.0,2.9
22,84,73,60,82,79,84,3.0,4.4
28,87,70,85,84,56,80,2.9,2.5
29,65,70,67,87,69,82,4.3,2.6
22,80,62,80,82,46,78,4.1,3.9
24,64,75,71,73,47,84,3.3,2.0
29,66,75,79,80,46,78,2.6,2.4
22,68,63,63,74,65,78,4.3,4.6
23,66,64,81,67,58,77,3.8,2.5
34,75,70,61,76,46,83,4.0,3.8
32,76,73,72,89,68,87,3.9,3.8
26,61,86,69,91,46,74,3.3,2.4
21,70,58,71,71,60,81,3.6,2.3
18,67,65,80,82,50,80,3.9,4.0
32,72,75,63,87,65,85,3.3,2.5
26,85,77,66,90,55,75,3.4,3.6
27,69,77,81,75,72,82,3.4,2.3
20,72,72,76,88,62,80,2.8,4.6
33,62,76,82,85,75,90,3.4,4.0
29,83,70,63,89,66,79,2.6,2.9
20,73,74,70,90,70,87,4.5,2.9
18,91,71,75,70,49,79,3.1,2.7
18,68,73,68,80,74,88,4.4,4.4
30,92,88,75,86,63,83,3.5,3.5
29,75,58,85,68,76,83,3.2,4.5
28,68,72,67,78,56,75,4.2,4.6
27,66,66,82,74,65,83,3.3,3.4
29,83,81,84,87,74,83,2.7,3.9
32,83,80,62,76,77,74,3.0,4.8
19,61,77,67,75,50,79,3.8,4.6
19,88,67,74,71,59,87,2.6,4.4
22,77,86,72,81,80,81,4.4,4.3
35,79,80,84,91,68,77,4.3,4.5
22,92,69,83,74,50,80,2.9,4.8
18,80,60,66,83,78,83,4.2,3.0
30,80,70,79,90,68,75,4.2,4.3
23,86,70,83,78,49,88,4.0,3.4
35,77,67,83,70,68,89,2.9,3.6
35,85,76,78,75,74,88,4.5,3.9
31,70,62,79,76,50,78,3.5,3.0
34,82,88,63,72,61,77,4.3,3.8
30,84,68,84,92,70,88,3.3,2.7
20,78,82,73,84,46,84,4.5,4.8
34,84,74,68,86,74,86,3.2,3.3
20,80,84,77,84,60,85,4.4,3.3
20,73,75,60,71,53,76,3.2,2.5
34,90,61,68,89,46,88,3.2,2.2
29,71,87,61,85,58,85,4.4,2.3
31,67,86,80,84,54,87,2.5,3.6
25,88,78,71,92,78,76,3.4,2.2
19,73,67,74,76,55,82,3.3,3.6
24,61,78,84,90,74,79,3.7,4.7
36,87,87,67,70,73,80,3.1,2.9
34,64,69,80,87,75,81,3.2,4.4
36,91,88,71,73,72,76,4.2,4.1
27,74,82,66,87,57,84,4.5,2.5
18,88,81,79,82,62,90,2.8,2.9
35,82,66,74,83,55,89,4.2,3.8
23,90,63,70,84,64,88,4.4,4.7
21,64,74,85,73,72,89,4.5,2.7
26,70,77,62,67,72,77,3.2,3.3
19,66,60,70,71,74,78,4.1,3.6
27,67,62,81,91,72,83,2.8,3.7
21,72,66,68,70,56,85,3.2,4.5
23,86,60,63,70,52,87,3.5,2.3
33,77,85,82,76,62,82,4.3,2.6
24,68,73,70,79,62,83,3.8,4.3
28,88,76,83,81,57,80,4.2,2.8
19,71,67,67,90,47,89,3.7,2.1
23,79,62,67,92,75,81,3.3,4.4
24,91,62,61,78,73,77,2.9,4.5
19,86,86,74,73,47,81,3.7,2.1
31,79,62,74,86,60,84,4.5,4.3
26,78,76,64,85,63,78,4.4,2.0
33,73,60,83,77,63,76,3.0,4.7
33,66,58,80,67,47,90,3.7,2.1
20,63,60,63,90,53,82,4.4,4.1
23,91,85,67,77,72,83,3.4,2.8
20,81,88,70,85,57,77,4.4,3.1
22,80,72,65,86,54,84,2.9,4.9
35,76,65,62,75,72,85,4.3,4.2
24,78,87,66,83,54,86,3.9,4.5
19,65,81,82,80,46,81,2.6,3.3
18,63,73,68,73,51,83,4.3,2.4
26,77,72,64,81,76,76,3.6,4.8
28,89,76,76,87,55,74,3.9,2.1
31,85,74,67,90,74,82,3.1,3.1
28,69,80,62,90,58,74,3.2,3.3
31,86,63,79,67,74,89,3.3,3.4
36,85,80,75,78,68,89,4.5,2.8
36,83,75,68,74,70,83,2.5,3.6
34,86,59,67,72,58,90,4.3,2.0
32,63,77,62,86,74,88,2.7,3.6
22,88,78,80,76,77,82,3.7,3.6
21,67,79,76,85,64,88,4.6,4.7
23,81,83,73,67,68,84,2.6,4.2
26,88,65,69,85,75,76,4.3,4.7
25,82,75,64,74,52,77,3.0,2.9
31,79,72,67,67,50,82,3.5,2.5
21,82,81,76,83,79,85,2.6,3.3
24,80,78,64,68,75,76,2.7,4.0
24,65,59,69,80,56,77,4.5,2.7
22,76,69,71,78,63,78,4.4,2.3
26,82,74,76,77,59,87,3.3,3.3
18,61,81,71,67,80,88,3.1,3.0
27,64,78,79,70,69,85,3.4,3.9
36,79,84,79,90,54,77,3.9,3.9
32,71,68,77,73,63,87,3.7,3.5
20,62,73,82,86,61,77,2.8,4.0
31,78,67,84,80,71,74,4.5,4.0
28,77,64,66,85,50,87,2.6,3.8
19,80,69,78,79,76,86,4.4,3.4
28,64,87,81,82,69,86,3.7,4.0
21,78,78,68,86,71,88,4.3,2.5
29,69,74,66,69,79,83,4.3,4.1
30,74,83,70,89,55,75,3.3,4.2
30,67,82,80,75,58,74,4.0,3.2
31,90,80,81,80,68,80,3.3,4.8
27,75,71,61,70,68,74,3.8,4.0
31,79,88,71,75,79,81,4.3,4.4
20,82,88,70,79,58,78,3.2,4.5
30,82,59,75,78,68,85,2.9,3.5
29,72,68,70,84,60,88,2.7,4.5
29,92,59,62,85,68,85,2.8,4.8
27,74,63,71,84,79,88,3.0,2.9
30,63,75,64,76,58,76,3.7,2.4
25,75,61,67,81,69,82,3.4,3.4
31,61,65,62,85,50,79,3.7,4.5
29,72,88,84,83,70,78,3.4,4.3
33,89,86,67,87,57,88,3.7,4.2
26,71,84,69,73,73,84,4.3,2.7
25,67,81,67,74,80,81,2.6,3.7
32,76,67,67,89,64,81,4.5,4.4
19,65,81,63,79,59,80,2.9,2.5
36,78,66,74,75,80,89,3.0,4.8
24,87,78,77,91,65,87,4.3,2.5
18,71,87,84,70,75,80,4.0,3.4
26,83,71,76,67,67,79,3.7,2.9
28,69,71,60,74,67,75,4.4,4.7
23,63,69,74,82,47,78,2.8,4.7
19,75,88,61,73,56,80,3.0,3.2
23,83,65,68,86,55,87,2.5,2.9
30,78,80,72,74,54,84,3.9,3.3
21,69,83,65,74,74,84,3.0,3.5
32,63,71,85,88,74,85,3.1,4.4
21,88,65,65,75,71,87,3.2,4.0
24,87,60,75,74,67,85,4.1,3.9
23,71,64,80,73,58,76,3.9,2.3
34,78,88,64,92,51,82,3.6,2.6
26,62,87,72,92,69,85,3.4,2.2
30,87,86,69,82,46,87,3.7,2.6
33,64,61,67,85,47,88,3.7,2.7
26,81,85,70,89,60,78,3.6,2.2
27,77,78,78,80,71,88,3.5,3.1
19,66,59,81,90,47,78,3.2,3.2
25,92,77,78,70,54,90,3.4,3.6
19,62,76,73,91,64,87,2.9,2.4
36,66,88,61,77,65,79,3.9,3.0
21,64,78,66,75,67,84,4.3,2.1
33,77,82,80,81,51,82,2.9,3.5
21,86,70,66,67,57,86,4.4,4.5
19,85,86,82,76,70,86,4.6,3.3
31,81,85,68,86,69,90,3.3,4.4
31,79,61,74,82,76,84,4.5,4.1
36,73,83,69,70,80,75,4.5,3.6
21,70,83,67,87,55,86,3.3,3.0
28,86,79,74,82,52,83,2.9,3.5
20,80,77,61,72,70,86,2.9,4.5
36,86,87,63,92,50,84,2.6,4.3
24,73,69,66,88,65,82,2.5,3.0
31,87,74,69,90,64,78,3.6,2.7
19,80,66,83,78,60,85,4.5,4.7
36,81,86,73,73,52,75,4.3,2.8
21,77,69,80,67,60,84,4.6,3.0
35,74,74,81,85,60,81,3.9,3.4
24,64,66,77,78,63,81,4.0,2.7
22,86,59,63,75,63,76,3.6,2.9
36,75,82,80,79,50,86,4.3,4.1
27,76,73,63,74,74,87,4.2,4.7
30,66,85,77,83,50,88,4.2,3.2
19,61,81,64,72,59,81,3.6,4.2
27,83,82,72,81,66,74,2.7,4.6
22,73,66,85,68,77,76,3.0,2.9
29,75,66,69,89,61,78,4.5,4.2
25,91,71,62,84,51,84,2.7,4.0
24,84,85,81,90,61,77,3.2,4.7
22,90,67,85,79,45,79,4.0,4.8
33,68,66,60,90,70,90,3.8,3.5
18,73,82,76,72,62,89,4.2,4.8
33,79,71,67,75,59,90,3.0,2.4
24,71,82,70,83,48,84,3.2,4.9
24,88,82,64,78,70,76,3.4,2.1
30,86,73,71,90,45,85,3.1,4.6
18,67,66,66,71,66,83,4.0,2.8
19,70,65,67,87,47,85,3.4,3.2
29,82,70,69,68,59,85,4.0,4.2
31,61,65,70,87,60,81,2.9,3.0
18,63,79,69,89,46,83,4.5,4.4
24,67,66,75,92,60,80,4.2,4.2
22,85,61,62,72,71,80,3.1,4.9
20,80,75,74,84,78,89,2.6,3.8
36,70,82,76,68,59,80,3.9,2.8
26,62,88,68,80,60,76,4.3,2.9
33,91,61,73,89,60,75,2.9,2.5
27,61,85,74,74,78,74,3.0,3.3
28,88,59,84,83,66,78,2.9,2.5
29,82,62,62,92,78,75,4.2,4.9
36,68,58,74,67,50,76,3.9,4.9
18,86,69,82,91,71,77,4.0,4.1
23,83,73,85,85,78,83,2.6,2.7
21,64,67,63,84,55,86,3.8,4.4
34,83,84,85,80,71,85,3.2,3.4
24,77,75,61,84,59,90,4.0,4.0
36,81,74,82,67,61,74,4.4,2.4
19,75,61,70,79,68,74,4.5,2.8
36,91,70,67,80,49,90,2.8,4.5
27,81,87,66,70,78,84,3.2,3.5
31,79,62,63,89,66,74,4.2,2.9
26,80,60,79,77,47,90,3.6,4.6
35,77,73,72,77,46,81,3.8,3.3
35,89,67,66,77,67,89,2.8,4.3
22,73,59,84,85,62,78,4.5,2.7
35,91,76,79,77,60,76,2.7,3.4
22,77,64,66,84,46,78,4.1,3.0
18,92,81,80,73,54,90,4.5,4.9
23,86,62,79,69,64,75,4.3,3.7
19,79,68,66,82,54,76,4.5,3.5
28,87,72,82,72,61,79,2.9,2.3
25,80,82,84,92,75,88,3.2,4.9
25,72,61,60,70,52,83,3.0,4.6
24,65,85,65,90,77,89,3.8,4.2
36,64,69,84,70,74,80,3.6,3.2
21,73,83,68,76,52,90,4.4,2.0
26,75,66,74,67,45,78,3.6,3.3
24,84,61,63,73,64,87,2.9,4.2
29,76,77,68,75,61,79,3.1,2.6
36,75,64,68,81,51,78,4.5,4.1
21,81,66,78,88,47,89,3.1,4.8
21,91,61,85,92,53,75,4.1,3.8
23,80,71,71,67,61,88,2.9,3.3
32,75,75,72,84,66,86,4.1,4.8
36,73,59,84,89,76,90,3.5,2.3
28,68,86,76,74,63,89,3.8,2.3
31,78,63,84,74,62,85,4.4,3.0
33,62,78,66,84,69,76,3.1,3.1
34,72,80,76,72,57,90,4.3,4.4
20,63,68,73,90,79,87,4.0,3.9
33,90,59,77,70,79,85,3.9,4.8
19,90,65,71,87,55,82,2.7,4.7
27,91,85,74,77,54,84,2.6,4.8
24,83,77,66,81,47,80,4.6,2.7
28,85,64,65,73,78,84,3.2,4.8
34,89,86,83,89,76,76,3.6,2.9
18,90,78,74,68,53,82,2.6,3.7
23,87,88,61,80,73,86,3.4,2.3
34,88,64,78,76,59,89,4.4,3.4
36,75,72,62,82,56,87,4.1,3.7
19,87,84,62,69,79,79,2.9,2.5
31,66,65,76,70,70,90,4.0,4.3
21,78,67,60,91,64,75,3.6,3.2
31,88,84,62,89,79,74,4.3,4.5
33,75,79,65,76,51,88,3.0,2.2
32,75,70,75,87,54,82,3.2,3.7
22,74,81,78,78,60,82,3.8,4.3
19,62,83,67,73,79,89,3.4,2.6
28,84,78,65,85,56,81,3.2,3.9
21,73,66,72,79,79,76,4.4,2.3
35,82,72,75,73,72,82,3.5,2.0
23,75,58,84,76,62,81,3.8,3.9
32,91,62,76,71,48,81,3.3,4.1
20,63,83,62,91,49,78,2.8,3.1
19,79,83,69,92,72,82,3.3,3.5
32,90,70,78,84,74,79,4.1,4.0
18,85,69,79,89,54,74,4.4,4.6
20,71,70,79,73,67,88,4.5,4.8
25,63,80,63,83,65,81,3.2,4.4
34,69,75,73,68,50,76,2.6,4.7
21,77,72,79,72,79,89,4.3,3.5
31,78,81,64,90,69,75,3.4,3.8
24,64,82,65,84,68,85,4.4,4.1
36,88,73,84,77,55,85,4.1,4.1
33,62,61,65,83,50,81,4.2,3.7
33,91,72,63,84,46,79,2.7,3.0
23,75,82,62,77,69,78,2.7,2.8
19,61,82,78,69,77,82,4.3,4.9
20,81,78,77,75,80,78,4.6,3.6
19,66,79,85,69,64,89,3.3,4.3
21,74,59,67,67,55,77,2.8,3.2
21,78,78,70,79,48,80,3.4,4.1
18,68,77,74,78,63,83,4.4,2.4
34,90,85,77,85,63,84,3.5,3.3
33,67,71,66,69,64,75,4.1,2.2
26,81,64,71,84,54,81,4.2,3.0
30,86,83,80,89,71,84,4.1,3.3
24,74,69,82,88,69,82,3.7,3.0
31,66,68,74,84,75,78,3.4,3.7
24,90,65,76,92,76,75,2.7,4.4
32,79,84,63,87,80,81,4.0,2.2
20,73,81,61,74,61,79,4.3,3.0
36,66,79,61,82,59,82,2.7,2.6
28,72,61,77,71,71,83,4.4,3.2
29,78,60,68,87,61,79,2.9,2.3
34,84,65,83,88,76,74,3.9,2.3
29,63,62,72,70,58,90,3.7,3.4
34,74,74,74,74,62,78,4.5,3.5
18,66,88,85,71,53,78,2.6,2.6
31,77,59,62,69,46,90,3.5,4.8
26,79,67,79,82,74,83,4.1,4.3
18,86,71,64,79,47,83,3.0,4.9
34,80,63,79,92,48,78,3.2,4.6
34,81,79,77,80,66,79,3.6,3.2
19,68,71,73,82,71,82,2.8,2.7
22,73,64,77,71,79,86,3.1,3.1
33,66,87,85,90,78,79,4.4,4.8
29,86,67,77,80,71,75,4.5,3.5
34,92,61,77,70,61,79,3.8,4.6
29,75,71,67,87,51,90,3.9,2.7
19,89,77,75,86,66,90,4.4,3.4
27,76,74,82,76,70,87,3.8,4.7
32,81,76,65,75,79,85,4.1,3.0
20,89,77,85,79,79,82,3.7,3.3
35,80,71,75,79,60,87,2.9,3.4
25,80,71,77,74,76,84,4.1,2.3
25,85,67,64,76,67,87,3.0,3.1
30,67,67,78,73,49,81,3.7,3.1
36,79,70,83,82,78,79,3.1,3.4
30,84,70,62,89,57,76,4.2,2.4
35,84,80,83,74,66,90,2.9,2.0
26,62,64,70,71,73,86,3.9,3.1
24,72,73,63,77,76,74,3.3,2.2
24,82,69,69,91,62,90,2.9,3.9
27,65,61,80,80,74,90,2.6,2.4
32,85,85,65,87,61,88,2.7,3.5
26,62,80,62,90,52,85,4.3,3.2
26,76,84,64,70,72,80,3.0,4.0
27,69,58,81,69,62,76,3.9,2.5
19,89,86,83,82,56,88,4.6,4.3
26,70,73,63,75,46,75,4.2,4.6
26,92,88,69,71,72,85,2.5,3.0
36,85,61,70,68,53,81,4.6,3.4
21,84,82,85,85,69,82,4.0,3.7
32,82,80,79,91,62,80,2.8,3.4
30,90,67,78,79,65,80,2.6,3.7
33,71,72,72,76,63,90,2.8,4.8
21,69,79,80,87,45,90,2.9,2.0
31,78,88,78,88,48,86,4.5,4.3
22,74,72,77,82,51,79,2.5,4.4
18,87,82,62,82,61,85,2.8,4.8
35,88,76,69,72,50,79,4.3,4.3
36,89,82,71,76,75,77,4.3,3.6
21,62,71,61,74,45,82,4.4,3.0
19,77,65,76,77,79,80,3.5,3.8
34,76,59,62,88,45,87,3.3,4.4
33,72,86,81,87,45,75,4.2,4.6
31,66,65,73,85,64,90,4.3,3.4
32,87,69,61,67,61,79,4.6,3.0
22,91,59,64,73,73,79,3.3,2.8
36,82,84,77,81,77,86,3.9,2.9
25,84,88,73,92,48,78,3.2,4.5
33,83,74,77,72,69,81,3.1,3.2
18,61,80,65,70,64,80,4.5,3.6
36,69,81,61,79,67,76,4.4,2.5
33,68,80,62,92,73,74,3.1,4.1
26,90,77,80,73,72,83,4.4,2.7
29,62,82,83,74,50,90,3.9,4.4
24,69,61,85,73,66,77,4.4,4.3
30,76,76,70,76,65,84,3.7,3.2
34,70,86,69,78,54,83,3.0,4.3
19,61,84,60,68,75,87,3.4,2.2
26,84,78,79,76,77,84,4.2,3.4
32,76,72,69,81,75,76,3.6,4.4
25,87,63,60,88,56,86,2.6,2.5
24,76,88,83,67,70,74,2.6,2.8
19,74,64,74,81,72,81,3.4,3.7
20,63,60,78,75,72,89,2.6,3.2
21,69,74,70,80,55,82,3.5,3.9
20,88,72,79,82,65,89,3.4,3.6
28,67,79,61,74,45,74,2.5,4.0
25,81,81,85,91,77,78,4.4,4.9
34,90,85,66,83,76,77,4.6,2.7
19,81,77,82,70,56,75,3.3,2.5
33,63,78,69,70,70,77,2.7,4.0
23,66,70,72,83,80,77,3.8,3.2
28,69,69,66,88,46,81,4.4,3.9
28,87,72,84,84,68,83,4.3,2.4
33,68,80,83,75,64,90,2.6,4.2
34,61,84,67,76,66,85,4.3,2.0
21,82,59,62,77,52,90,2.6,4.8
23,83,75,74,84,65,82,4.0,3.2
21,90,74,84,77,46,83,2.7,3.0
30,84,66,70,81,48,85,3.0,3.5
32,74,84,74,67,70,83,4.6,2.2
28,80,66,69,76,78,84,3.8,4.0
18,81,61,72,91,55,89,2.6,4.2
33,92,58,78,78,73,82,4.2,2.8
35,68,69,66,92,47,78,4.5,4.0
22,89,78,73,78,57,84,4.1,3.7
31,88,85,68,74,77,88,4.1,2.2
22,90,83,71,78,63,86,3.3,2.1
