player_positions,overall,potential,age,pace,shooting,passing,dribbling,defending,physic,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
"CM, CDM, CB",87,92,24,81,69,85,88,77,78,7,13,10,10,9,
RB,87,92,22,79,68,88,80,80,72,14,15,14,6,7,
"RM, CF, LM",87,91,21,81,76,82,91,36,65,7,11,10,11,13,
CB,87,91,24,61,38,65,68,88,88,7,8,13,7,12,
CB,86,86,36,68,46,60,59,89,85,3,3,2,4,3,
GK,86,86,36,,,,,,,81,81,65,92,87,47
CB,86,86,32,56,59,77,73,89,77,15,6,10,5,6,
"LB, LM",86,86,32,86,69,81,83,77,71,13,15,13,6,13,
"CM, CDM",86,86,30,63,72,86,90,70,66,6,11,7,9,13,
"CDM, CM",86,86,32,42,62,79,80,82,75,5,8,13,9,13,
CM,86,86,32,50,83,90,81,71,69,5,9,12,14,8,
GK,86,87,29,,,,,,,85,83,80,84,87,45
"LW, CF",86,86,30,87,78,85,90,36,45,8,4,14,9,10,
CB,86,86,30,81,28,51,65,87,85,7,11,7,13,5,
CB,86,88,28,82,49,64,65,87,82,11,11,9,5,14,
"RW, RM",86,86,30,81,79,81,90,38,60,15,9,13,11,6,
"ST, RM, RW",86,86,29,79,86,77,84,46,73,15,12,7,12,10,
ST,86,86,34,85,84,70,80,52,73,15,14,7,15,11,
"CDM, CB",86,88,27,67,69,78,78,85,83,13,12,6,8,8,
"RB, LB",86,87,27,85,71,83,84,80,72,6,9,15,14,14,
CB,86,89,27,63,50,72,69,86,80,10,11,5,14,5,
"LM, RM, LW",86,87,25,93,76,79,88,30,60,5,3,5,3,5,
"CAM, CM, RW",86,87,26,80,76,83,91,54,67,9,10,14,12,9,
"CM, RM, ST",86,89,26,88,80,81,82,78,82,13,6,6,11,15,
CDM,86,89,25,61,70,77,78,82,82,10,10,7,14,8,
CB,86,88,26,80,41,53,69,87,84,10,13,12,8,12,
"CAM, CF, CM",85,85,33,87,78,84,87,39,55,8,11,12,9,6,
GK,85,85,34,,,,,,,84,78,80,83,90,47
CB,85,85,36,53,54,72,72,86,78,9,12,5,9,10,
"CAM, CM",85,85,35,63,74,87,87,52,53,6,15,7,6,12,
GK,85,85,32,,,,,,,79,81,84,86,86,50
ST,85,85,34,66,86,70,76,51,79,12,5,13,13,10,
LW,85,85,30,84,80,82,88,35,63,11,12,6,8,8,
CB,85,85,34,64,58,69,72,86,80,2,2,3,2,4,
GK,85,85,31,,,,,,,85,84,76,82,86,43
"CM, CDM",85,85,30,65,80,85,86,73,72,11,14,5,5,13,
"CAM, CF",85,85,32,73,84,84,85,47,63,12,12,13,13,11,
RB,85,85,31,92,63,76,78,80,82,12,6,16,15,8,
"ST, LW, LM",85,85,32,89,85,75,80,35,69,6,9,15,9,9,
"CM, CDM",85,85,29,70,75,85,81,79,80,14,12,5,10,13,
"ST, LW, RW",85,85,30,80,84,84,87,52,72,14,8,14,13,14,
CB,85,85,29,72,41,64,70,87,79,8,10,7,14,13,
CF,85,85,29,77,78,79,89,59,78,8,11,9,6,10,
"CF, LW, CAM",85,86,27,82,83,82,84,30,79,8,14,6,12,10,
RB,85,85,29,80,54,78,80,81,80,13,13,15,9,15,
"CM, CDM",85,85,29,55,67,86,81,73,73,14,7,13,14,8,
"RM, LM, RW",85,86,25,83,84,79,86,43,69,14,10,10,9,7,
"CM, CDM, CAM",85,87,26,68,79,80,81,79,86,7,10,7,16,7,
"CDM, CM",85,88,24,67,62,69,74,87,83,13,14,7,7,13,
"LW, RW",85,89,24,82,82,81,84,41,63,10,6,10,13,11,
ST,85,89,23,84,81,72,85,48,84,11,8,8,8,13,
"LM, ST",85,89,23,90,84,79,84,43,77,11,6,15,7,14,
"RB, RWB",85,88,22,95,71,78,83,76,78,10,8,14,6,8,
CB,85,90,21,73,59,60,69,84,87,12,11,11,12,10,
ST,84,84,39,65,87,78,79,34,77,13,15,10,9,12,
"RB, RM",84,84,35,87,69,81,83,79,58,10,10,15,7,13,
CB,84,84,34,58,61,71,68,85,78,10,11,14,15,8,
"CF, ST, CAM",84,84,34,85,82,80,88,34,50,7,10,8,10,4,
"CM, CDM",84,84,30,77,75,80,86,79,79,16,6,14,12,6,
"CDM, CM",84,84,31,66,74,83,79,78,81,7,13,7,9,13,
"CDM, CM",84,84,33,66,62,75,74,83,82,7,5,9,3,5,
"RB, RWB, RM",84,84,30,73,63,82,77,80,72,11,14,8,11,10,
"ST, RW",84,84,33,82,85,79,86,35,63,12,16,9,12,13,
GK,84,84,30,,,,,,,86,79,76,79,87,57
"CB, LB",84,84,29,77,70,81,80,83,76,5,7,14,15,9,
"CAM, CM, CF",84,84,28,60,76,86,84,57,59,6,8,6,12,11,
"LW, CF, CAM",84,84,32,69,81,85,85,43,76,11,11,14,9,16,
ST,84,84,30,82,84,77,87,39,70,6,13,9,7,7,
LB,84,84,27,79,69,80,80,80,76,6,12,9,6,13,
"CF, ST",84,84,33,75,86,84,86,40,67,13,13,8,12,6,
GK,84,85,28,,,,,,,85,83,82,83,85,58
CB,84,86,28,50,55,69,70,85,87,14,16,9,14,9,
CB,84,84,30,64,35,57,58,87,76,14,13,14,13,12,
"CM, CDM, CAM",84,85,27,78,84,81,80,67,78,11,13,14,15,13,
LB,84,86,25,79,54,79,80,81,80,10,12,13,7,7,
"LW, LM, CAM",84,85,25,80,76,83,88,46,64,11,6,11,10,13,
CB,84,85,27,62,58,72,66,86,79,12,10,6,8,10,
CB,84,84,32,61,41,58,62,85,84,9,11,14,9,7,
"LM, ST",84,84,27,88,81,78,85,45,67,9,11,9,10,10,
"LM, LWB",84,84,28,88,77,82,83,68,80,13,14,12,12,13,
"RW, CAM",84,84,28,78,76,87,83,50,65,11,7,11,8,14,
"LB, LM",84,84,27,75,77,85,88,76,58,12,6,8,11,8,
"RB, RM",84,84,27,83,67,78,82,80,75,16,12,15,11,11,
"ST, LW",84,87,25,91,81,70,82,35,70,9,9,8,15,9,
GK,84,89,25,,,,,,,83,81,85,84,86,50
"CDM, CM",84,84,28,69,74,80,79,79,78,8,8,15,11,8,
"CM, CDM",84,87,24,63,79,86,80,71,72,6,8,10,14,12,
CB,84,88,26,69,45,57,59,86,80,9,11,7,10,15,
"CAM, RM, ST",84,84,27,83,83,82,87,38,79,15,9,8,14,15,
"RM, LM",84,87,25,90,81,79,85,38,68,8,12,9,9,14,
CM,84,89,24,78,71,79,86,75,78,11,5,13,14,11,
"LB, LM",84,84,29,76,74,82,87,79,82,8,14,13,13,14,
ST,84,85,25,74,84,69,83,45,77,14,13,7,11,8,
"CDM, CM",84,86,24,78,74,74,80,82,87,9,11,12,12,10,
LB,84,90,23,93,71,76,81,77,82,12,10,7,7,7,
"CAM, CF, CM",84,92,22,82,78,79,84,45,66,6,8,11,10,12,
"CAM, LW, CM",84,92,21,84,78,80,87,56,57,8,15,6,10,13,
"CDM, CB",83,83,36,59,72,75,78,84,75,12,11,5,13,7,
"RW, LW, CAM",83,83,32,80,82,78,84,31,67,8,14,8,13,10,
"CDM, CM",83,83,32,61,72,81,79,82,79,5,7,7,10,7,
GK,83,83,32,,,,,,,85,83,78,81,83,57
CB,83,83,32,67,55,64,59,85,78,6,10,13,10,15,
ST,83,83,35,66,83,72,78,45,76,9,11,13,15,15,
CB,83,83,32,72,50,73,67,84,79,7,12,15,6,5,
CB,83,83,32,58,55,70,67,86,77,16,6,14,16,14,
"CB, RWB",83,83,31,66,55,76,72,84,76,13,9,10,6,5,
"CM, CAM, CDM",83,83,32,72,81,77,81,80,85,16,16,11,6,8,
"CAM, RM, LM",83,83,28,81,76,82,87,51,61,10,5,5,13,12,
"CM, CDM, LM",83,83,30,83,80,85,82,67,71,15,12,16,13,12,
GK,83,83,31,,,,,,,85,78,69,83,87,40
"LB, LM",83,83,30,81,65,77,79,78,79,7,7,9,12,5,
GK,83,84,29,,,,,,,85,80,76,83,85,55
CB,83,83,30,81,25,44,62,85,81,8,6,8,15,12,
"CF, RM, RW",83,83,32,85,80,79,83,56,74,5,11,14,5,7,
"RB, RM",83,83,33,90,75,77,87,76,72,5,5,13,6,9,
CB,83,83,29,58,46,68,68,85,78,11,15,10,7,10,
CB,83,83,30,68,49,55,63,84,87,16,13,15,16,13,
CB,83,83,33,63,50,62,64,86,83,11,9,9,13,11,
"CDM, CM",83,83,30,72,71,77,82,80,79,13,13,5,5,8,
"ST, CF",83,83,28,73,85,79,80,42,86,8,7,9,7,12,
ST,83,83,28,82,80,72,81,31,77,4,5,4,4,5,
ST,83,83,28,69,83,65,77,36,69,13,9,5,7,9,
"LWB, LB, LM",83,83,28,92,64,73,80,78,71,11,13,12,15,14,
CB,83,86,27,70,51,71,74,84,78,7,15,11,10,8,
GK,83,83,29,,,,,,,81,83,75,83,84,49
ST,83,83,30,72,82,76,81,47,82,7,11,13,14,10,
GK,83,85,27,,,,,,,83,78,87,80,86,49
CB,83,84,28,75,43,68,64,84,84,14,15,10,12,8,
"LW, RW",83,83,26,81,84,78,83,63,84,11,8,15,12,7,
"CM, CDM",83,84,27,70,69,83,88,69,70,9,5,6,7,7,
"CM, CDM",83,83,28,69,71,82,81,80,84,11,13,9,9,7,
"LB, LWB, LM",83,86,26,83,61,77,80,79,73,13,10,9,12,9,
"LM, CM, RM",83,86,25,82,76,82,86,59,63,11,15,13,7,14,
"CDM, CM",83,86,25,60,71,76,76,81,82,9,7,12,11,11,
"ST, RM",83,86,26,85,83,78,87,49,74,13,10,9,8,16,
ST,83,83,30,80,81,61,78,35,84,9,9,8,6,8,
"ST, CAM",83,83,30,71,86,76,86,30,71,8,14,14,7,15,
"LWB, LM",83,86,24,78,71,82,84,76,70,13,6,13,13,13,
"LB, CB",83,86,25,77,54,68,71,84,79,10,7,8,14,10,
"RW, LW",83,86,25,82,80,81,83,43,62,13,9,6,12,10,
ST,83,83,28,63,83,59,70,52,86,11,9,14,16,12,
"LWB, LB, LM",83,83,26,82,75,74,79,77,81,7,16,15,16,10,
CM,83,87,25,74,78,81,82,82,81,9,12,9,13,14,
CB,83,87,25,81,42,68,70,83,86,7,8,14,15,9,
LB,83,86,26,92,64,76,79,78,84,7,16,9,10,9,
RB,83,87,23,85,52,69,79,81,75,9,8,6,8,8,
"CAM, RM",83,83,29,88,77,83,84,35,72,12,12,13,15,13,
CM,83,85,24,69,67,83,88,72,70,6,13,13,11,12,
ST,83,87,24,84,81,72,86,39,73,13,8,6,6,15,
RW,83,88,24,93,77,77,86,36,56,6,6,14,10,13,
"CAM, CM, RW",83,89,22,74,79,84,83,55,65,11,12,13,8,12,
GK,83,85,29,,,,,,,83,82,78,81,84,35
"RW, LW, RM",83,91,23,91,81,74,85,48,73,6,7,8,9,7,
CM,83,89,22,86,74,78,79,77,80,6,10,6,15,8,
CB,83,89,22,81,45,64,72,84,78,11,10,8,14,13,
"CF, ST",83,91,21,82,79,76,86,40,68,13,12,14,13,14,
CB,82,82,38,80,51,60,61,82,87,8,15,5,9,10,
CB,82,82,35,40,41,62,63,86,73,8,6,5,9,8,
GK,82,82,36,,,,,,,82,82,71,83,82,49
GK,82,82,34,,,,,,,82,77,76,84,80,46
CM,82,82,33,57,79,85,78,75,69,14,11,12,5,9,
"RM, RW",82,82,31,82,84,82,80,55,70,15,15,11,5,6,
GK,82,82,33,,,,,,,82,80,77,80,83,55
"CDM, CM",82,82,33,62,75,84,82,76,71,13,8,7,7,10,
CM,82,82,31,65,68,83,81,75,67,7,7,13,7,8,
LB,82,82,31,83,68,76,76,79,82,12,13,9,8,11,
"CAM, ST",82,82,32,61,84,81,81,60,73,7,10,13,11,12,
"CAM, CM, LW",82,82,29,78,79,82,82,59,67,12,10,15,12,12,
GK,82,82,30,,,,,,,82,78,79,82,84,48
"CAM, LW, CM",82,82,29,69,79,80,88,52,59,12,7,9,14,6,
"CM, CAM",82,82,29,62,78,88,81,53,52,9,14,7,7,6,
"CB, CDM, LB",82,82,31,45,64,82,79,83,72,12,9,10,14,10,
"CAM, CM",82,82,29,68,75,83,84,55,69,14,7,12,6,10,
GK,82,84,28,,,,,,,85,79,76,80,85,55
"RM, RB, RW",82,82,28,83,67,79,85,74,60,11,6,10,14,9,
ST,82,82,30,75,82,74,82,44,72,11,6,9,5,6,
"CDM, CM",82,82,31,69,62,71,78,83,77,8,6,8,12,13,
RB,82,82,30,82,61,74,78,79,79,12,13,14,13,12,
GK,82,82,31,,,,,,,81,80,79,79,82,49
GK,82,82,31,,,,,,,83,79,78,79,81,54
"CAM, CM, LW",82,82,29,66,75,80,88,59,59,10,8,12,15,6,
"CF, LM, ST",82,82,28,89,77,73,87,34,75,15,10,15,11,10,
ST,82,82,30,89,83,74,86,27,67,8,10,10,14,6,
GK,82,83,30,,,,,,,84,78,70,80,86,63
"CM, LM, RM",82,82,28,68,74,83,82,71,72,8,11,6,7,10,
CB,82,82,30,67,49,71,65,84,83,15,6,15,15,7,
"CDM, CM",82,83,28,77,75,77,79,77,81,9,10,11,8,9,
RW,82,82,27,76,76,82,85,32,55,15,15,9,8,9,
"LM, CF",82,82,28,80,76,80,85,52,66,6,9,7,7,8,
LB,82,82,28,82,65,78,82,76,68,8,9,12,11,16,
"RW, RM, LW",82,82,29,90,78,77,79,59,79,14,10,15,15,13,
"CAM, LM",82,83,27,67,78,84,85,59,57,9,14,11,6,10,
"CM, CB, CDM",82,83,27,78,78,78,80,84,87,14,8,8,13,11,
"CM, LM",82,85,26,71,78,78,79,78,79,7,13,12,10,9,
"CDM, CM",82,82,30,66,68,71,73,82,83,14,15,7,12,12,
GK,82,82,30,,,,,,,82,79,76,81,84,36
"LB, LM, LWB",82,85,25,87,65,81,83,74,71,7,13,10,7,13,
CB,82,83,26,68,40,56,68,85,78,9,14,12,8,9,
"RW, RM",82,82,26,79,80,81,85,36,69,5,6,5,5,6,
LB,82,82,28,80,55,73,76,81,81,13,9,10,15,16,
GK,82,87,26,,,,,,,82,81,76,83,82,47
"CB, RB",82,87,25,65,42,59,51,83,81,15,7,14,7,15,
LB,82,82,28,83,73,82,78,77,73,13,8,12,11,14,
"CF, ST, CAM",82,83,27,80,83,81,83,52,75,13,11,13,12,10,
"CM, CF",82,83,27,78,76,80,82,71,79,13,12,10,7,14,
"RM, LM",82,82,28,94,73,74,86,50,52,9,11,11,12,8,
CB,82,84,28,76,47,63,68,81,83,7,10,14,7,11,
"LM, ST",82,82,27,86,83,75,81,48,80,13,15,12,13,14,
CB,82,86,26,72,45,67,66,83,79,10,10,9,12,7,
"CAM, CM",82,85,24,75,78,84,84,54,60,11,14,14,12,14,
"CDM, CM",82,87,23,61,72,79,77,79,79,11,12,11,10,15,
"CAM, CM",82,88,22,77,74,83,84,58,62,14,15,15,8,10,
CM,82,87,24,59,75,85,77,74,73,16,12,10,8,10,
"LW, ST",82,87,24,84,81,73,85,57,77,7,12,15,9,11,
CB,82,88,24,81,30,66,69,83,78,8,13,14,7,7,
CM,82,86,25,63,78,79,82,74,71,16,11,7,13,13,
"LW, RW, LM",82,88,22,89,70,73,86,37,59,8,12,13,16,14,
"CDM, CM",82,87,25,60,65,70,72,85,88,14,10,8,7,7,
CB,82,90,22,81,43,62,68,81,81,6,7,8,15,9,
"CB, LB",82,85,26,75,49,72,71,83,80,13,8,10,5,8,
"RM, RW, LW",82,85,23,93,78,74,84,33,64,12,13,6,15,14,
"LWB, LB",82,86,24,76,53,77,78,78,75,10,7,14,7,10,
GK,82,82,33,,,,,,,79,84,77,83,78,41
CB,82,82,29,78,43,56,64,85,79,16,15,13,15,10,
GK,82,86,24,,,,,,,82,77,76,85,84,47
"ST, LW, LM",82,87,24,83,78,73,83,53,80,12,7,8,11,13,
CB,82,87,23,76,46,52,61,83,84,5,7,11,10,14,
RB,82,84,25,80,61,66,72,78,89,10,10,7,13,14,
"RM, RW",82,87,24,91,76,76,84,49,72,8,7,13,8,14,
ST,82,86,21,84,82,68,79,29,69,7,6,9,7,11,
"CDM, CM",82,87,22,66,53,71,74,81,79,8,11,14,5,9,
"LB, LM",82,89,20,96,67,71,82,75,75,11,11,6,5,14,
CM,82,87,24,64,72,79,82,66,67,6,11,10,11,15,
"ST, LW",82,86,24,78,83,58,78,35,76,13,9,14,9,13,
"CAM, CM, CDM",82,87,24,71,72,81,88,69,72,8,10,13,8,7,
"CDM, CM",82,85,26,64,72,74,74,82,85,11,13,5,6,8,
CB,82,89,23,83,50,69,71,83,82,11,8,15,12,15,
"RW, ST",82,90,21,82,79,78,82,35,66,12,9,11,15,12,
CB,82,89,24,71,38,67,70,84,80,11,13,13,13,9,
GK,82,87,26,,,,,,,81,78,74,80,85,56
"CAM, CF",82,87,23,67,76,81,86,50,60,15,15,13,12,11,
"RM, LM",81,81,39,68,80,84,81,44,55,9,14,6,10,11,
ST,81,81,35,79,83,69,73,34,79,14,15,11,8,12,
"LW, LM",81,81,34,70,77,81,85,37,68,5,10,13,6,6,
"ST, CF",81,81,35,68,83,73,75,41,84,10,15,14,11,11,
CM,81,81,31,70,75,76,76,78,84,6,10,15,7,16,
GK,81,81,34,,,,,,,81,82,72,80,83,42
GK,81,81,36,,,,,,,80,80,78,81,81,49
ST,81,81,33,58,84,71,78,29,71,5,12,7,5,10,
CB,81,81,37,32,46,62,63,83,77,7,11,16,10,6,
CB,81,81,34,76,62,72,67,83,78,6,10,9,12,7,
CDM,81,81,34,56,65,73,76,82,69,10,8,8,5,6,
GK,81,81,34,,,,,,,78,81,78,83,80,55
"LM, LW, LWB",81,81,32,81,79,76,79,64,74,6,7,10,9,6,
CM,81,81,34,65,79,79,79,82,82,4,2,4,2,4,
"CF, CAM",81,81,33,64,81,81,82,40,66,12,7,5,13,9,
ST,81,81,32,79,81,79,78,44,82,14,15,10,10,15,
"CAM, RM",81,81,33,79,76,78,86,47,68,6,13,13,8,9,
"CDM, CM",81,81,30,67,64,74,75,80,85,8,14,15,7,10,
CB,81,81,33,63,57,62,59,83,81,12,5,8,11,12,
"CDM, CM",81,81,29,75,71,74,74,83,82,8,12,11,14,15,
GK,81,81,30,,,,,,,82,78,67,81,83,56
ST,81,81,29,84,82,73,75,37,85,10,14,10,8,11,
"CM, CDM",81,81,30,70,67,81,85,63,62,13,11,7,6,16,
ST,81,81,28,79,84,70,80,45,70,10,13,12,16,6,
"CM, RM",81,81,31,75,77,81,82,64,66,15,14,9,9,15,
CAM,81,81,31,82,75,79,82,63,69,16,16,9,14,9,
"RW, CAM, CM",81,81,29,53,86,86,86,50,60,15,15,15,5,14,
"RB, LB, CB",81,81,29,73,67,73,74,82,79,14,5,15,14,5,
"RB, CM, RM",81,81,29,76,63,80,77,76,73,14,16,11,15,10,
GK,81,81,32,,,,,,,81,80,78,81,79,54
RW,81,81,29,80,81,82,82,36,66,9,11,7,7,15,
ST,81,81,27,77,84,69,81,35,61,12,11,11,10,9,
"CB, RB, LB",81,81,31,78,37,66,69,81,80,12,7,10,15,7,
"CDM, CM",81,81,29,64,63,71,73,80,86,9,7,13,14,15,
"RM, CF",81,81,28,90,79,70,86,43,68,9,10,14,7,14,
GK,81,81,33,,,,,,,82,77,76,80,83,54
CB,81,82,28,57,45,67,65,82,81,14,8,12,9,7,
"RB, RWB",81,81,30,76,77,79,80,76,62,9,8,10,11,10,
GK,81,81,32,,,,,,,83,77,74,80,84,40
CB,81,84,26,65,51,63,57,81,85,14,14,7,9,15,
CB,81,81,30,71,56,66,64,81,79,12,16,11,13,11,
CB,81,82,28,49,36,52,55,84,80,15,12,15,10,6,
ST,81,82,27,64,84,67,76,39,71,9,16,16,15,6,
CM,81,84,26,59,74,86,78,67,73,12,12,10,15,15,
GK,81,83,27,,,,,,,82,80,73,80,84,39
"RM, RW",81,81,31,87,78,78,82,47,64,8,14,14,12,16,
"CDM, CM",81,82,27,65,81,79,78,76,74,11,9,11,10,10,
"CDM, CM",81,83,27,66,71,83,79,76,79,9,14,6,9,10,
"RW, RM",81,81,26,79,75,80,83,30,58,15,10,11,12,7,
"CAM, CF",81,81,29,70,73,82,83,35,62,13,7,9,15,11,
ST,81,82,27,76,81,59,78,38,83,13,7,12,14,7,
"RW, RB, RM",81,81,30,82,73,79,80,69,69,9,16,9,9,7,
"CDM, CM",81,81,28,77,66,77,81,75,71,7,16,15,11,15,
"CM, CDM",81,82,26,76,74,76,80,76,79,9,12,9,7,15,
GK,81,84,27,,,,,,,82,76,75,83,84,31
"CM, CAM",81,82,27,81,75,81,85,70,61,12,9,12,11,6,
"LM, RM, CM",81,82,26,78,69,79,85,63,68,11,12,9,10,15,
"LM, RM, ST",81,81,28,88,80,75,83,38,70,8,8,10,13,10,
"ST, LM",81,84,25,87,80,73,85,35,68,9,8,8,15,11,
GK,81,83,27,,,,,,,84,78,67,78,84,43
"CAM, CM, CF",81,85,25,73,75,80,84,48,66,11,16,11,8,9,
GK,81,83,27,,,,,,,82,78,73,82,86,44
"CF, ST, CAM",81,82,26,84,75,77,85,39,69,11,10,7,8,8,
"ST, RW",81,82,27,94,78,72,78,37,81,14,15,14,10,13,
"RM, RW",81,81,27,83,77,78,84,42,55,11,12,6,8,11,
"ST, LM",81,81,33,86,82,75,85,52,68,14,13,13,16,8,
CB,81,82,29,69,37,62,62,83,79,7,15,7,10,10,
"RWB, RB, RM",81,81,27,84,64,72,77,77,79,11,6,8,14,15,
GK,81,81,32,,,,,,,79,78,80,79,82,46
"CM, CAM, CDM",81,86,24,68,78,76,79,72,77,7,12,8,10,14,
ST,81,85,24,83,77,64,77,39,82,12,12,8,7,11,
"RW, LW",81,82,25,93,76,72,82,41,62,11,10,14,14,10,
GK,81,82,28,,,,,,,81,80,72,80,82,43
"CDM, CM, CB",81,85,25,67,65,76,75,78,82,8,8,8,12,14,
"LM, ST, CF",81,86,24,86,79,76,82,36,68,9,12,11,9,9,
"CDM, CM, RB",81,85,24,81,68,77,78,80,77,9,12,12,13,12,
"RM, RW",81,82,26,88,79,75,83,36,65,11,14,11,6,8,
"RWB, CB, RM",81,85,23,80,49,69,73,82,80,10,7,14,11,15,
"CM, CAM",81,85,25,75,76,82,83,69,73,10,7,10,15,14,
GK,81,84,26,,,,,,,84,74,80,84,82,42
CB,81,83,26,68,49,62,64,82,77,12,9,8,12,11,
"CAM, CM, CDM",81,86,25,78,74,81,80,72,77,12,7,10,13,11,
"CB, CDM",81,81,25,71,61,57,63,82,80,18,12,14,11,18,
"LWB, LB",81,81,29,93,66,75,76,72,77,12,15,9,10,14,
"CDM, CM, CAM",81,81,21,77,57,74,77,82,68,15,14,14,10,9,
"ST, CF",81,81,29,78,84,62,72,33,71,8,11,20,19,20,
"LB, LM",81,81,21,79,54,76,79,75,74,16,15,15,7,7,
ST,81,81,29,76,81,67,77,20,78,9,12,7,8,7,
"CF, CM",81,81,28,74,80,83,81,64,79,6,6,12,15,13,
"CAM, CM, CF",81,86,23,79,74,81,85,69,65,5,6,10,15,7,
"CM, CAM",81,86,23,74,75,79,83,69,78,14,9,12,11,11,
"CM, RM, LM",81,88,24,78,77,82,79,71,71,6,14,7,13,11,
"LM, LW",81,84,23,86,77,76,81,45,63,6,5,11,8,10,
"CM, CAM",81,86,23,75,75,81,85,66,71,14,6,11,7,10,
RWB,81,81,27,92,62,76,82,70,65,14,6,11,5,11,
"RWB, RB",81,86,21,80,58,77,77,76,80,8,12,7,13,11,
"LM, LB",81,87,22,79,67,78,80,73,74,13,7,9,10,11,
"RW, CM",81,88,23,76,81,79,84,56,65,15,11,15,7,8,
"LW, RW",81,88,21,94,67,73,85,41,53,8,9,8,8,14,
LB,81,84,24,86,58,75,78,78,70,11,14,9,5,12,
CB,81,88,22,75,52,65,69,82,79,5,10,13,7,15,
"RW, CF",81,89,21,84,74,77,84,56,76,14,5,10,10,5,
LB,81,86,23,84,67,76,81,77,75,12,7,11,10,15,
CM,81,91,18,78,65,79,84,66,63,12,7,11,8,8,
GK,80,80,43,,,,,,,76,73,70,90,76,34
GK,80,80,35,,,,,,,79,75,72,80,83,48
GK,80,80,35,,,,,,,77,72,78,82,84,51
CM,80,80,34,50,72,84,80,70,66,13,15,15,13,13,
CB,80,80,33,52,32,61,60,83,77,12,16,16,15,8,
"ST, CAM",80,80,34,41,82,81,78,65,83,14,16,14,16,15,
"CM, CDM, CAM",80,80,33,68,77,81,80,70,71,8,6,4,14,14,
"RB, RM, CM",80,80,32,74,77,80,77,76,76,11,9,10,13,13,
GK,80,80,33,,,,,,,80,75,76,84,82,51
LB,80,80,33,73,72,80,87,75,71,12,5,5,5,9,
"LW, CAM",80,80,34,69,77,83,82,38,67,11,15,9,14,12,
CB,80,80,34,63,45,52,63,81,82,7,4,8,7,11,
LB,80,80,35,65,61,74,74,80,68,7,5,9,3,5,
"CAM, CM, CF",80,80,33,71,84,78,74,73,80,11,11,14,8,11,
